AAL	ɐ ɐ l
ABERTAMENTE	ɐ b ɛ ɾ t ɐ m ẽ t i
ABETE	ɐ b ɛ t i
ABIGAIL	ɐ b i ɡ ɐ j l
ABISMAL	ɐ b i z m ɐ l
ABISSAL	ɐ b i s ɐ l
ABIÓTICA	ɐ b i ɔ t i k ɐ
ABIÓTICAS	ɐ b i ɔ t i k ɐ ʃ
ABIÓTICO	ɐ b i ɔ t i k u
ABIÓTICOS	ɐ b i ɔ t i k u ʃ
ABJETA	ɐ b i ʒ ɛ t ɐ
ABJETAS	ɐ b i ʒ ɛ t ɐ s
ABJETO	ɐ b i ʒ ɛ t u
ABJETOS	ɐ b i ʒ ɛ t u s
ABL	ɐ b e ɛ l i
ABLATIVA	ɐ b l ɐ t i v ɐ
ABLATIVO	ɐ b l ɐ t i v u
ABNT	ɐ b e e n i t e
ABOMINAVELMENTE	ɐ b o m i n ɐ v ɛ w m ẽ t i
ABOMINÁVEL	ɐ b o m i n ɐ v ɛ l
ABONÁVEL	ɐ b o n ɐ v ɛ l
ABORDE	ɐ b ɔ ɾ d i
ABORIGINAL	ɐ b o ɾ i ʒ i n ɐ l
ABORREÇA	ɐ b o ʁ e s ɐ
ABORREÇAM	ɐ b o ʁ e s ɐ̃ w
ABORREÇO	ɐ b o ʁ e s u
ABORTE	ɐ b ɔ ɾ t i
ABORTIVA	ɐ b o ɾ t i v ɐ
ABORTIVAS	ɐ b o ɾ t i v ɐ ʃ
ABORTIVO	ɐ b o ɾ t i v u
ABORTIVOS	ɐ b o ɾ t i v u ʃ
ABORTOS	ɐ b o ɾ t u s
ABORTÍCIA	ɐ b o ɾ t i s i ɐ
ABORTÍCIAS	ɐ b o ɾ t i s i ɐ ʃ
ABR	ɐ b ɾ i w
ABRADE	ɐ b ɾ ɐ d i
ABRANGENTE	ɐ b ɾ ɐ̃ ʒ ẽ t i
ABRANGENTES	ɐ b ɾ ɐ̃ ʒ ẽ t i ʃ
ABRANTES	ɐ b ɾ ɐ̃ t i ʃ
ABRASADORAMENTE	ɐ b ɾ ɐ z ɐ d o ɾ ɐ m ẽ t i
ABRASANTE	ɐ b ɾ ɐ z ɐ̃ t i
ABRASANTES	ɐ b ɾ ɐ z ɐ̃ t i ʃ
ABRAÇÁVEL	ɐ b ɾ ɐ s ɐ v ɛ l
ABREULÂNDIA	ɐ b ɾ e w l ɐ̃ d i ɐ
ABRIL	ɐ b ɾ i l
ABROLHOS	ɐ b ɾ o ʎ u s
ABRUPTAMENTE	ɐ b ɾ u p i t ɐ m ẽ t i
ABS	ɐ b e ɛ s i
ABSENTIA	ɐ b i s ẽ t i ɐ
ABSIDE	ɐ b i s i d i
ABSOLUTAMENTE	ɐ b i s o l u t ɐ m ẽ t i
ABSOLUTISMO	ɐ b i s o l u t i z m u
ABSOLUTISTA	ɐ b i s o l u t i ʃ t ɐ
ABSOLUTISTAS	ɐ b i s o l u t i ʃ t ɐ ʃ
ABSOLUTIZAÇÃO	ɐ b i s o l u t i z ɐ s ɐ̃ w
ABSORTOS	ɐ b i s o ɾ t u s
ABSORVA	ɐ b i s o ɾ v ɐ
ABSORVAM	ɐ b i s o ɾ v ɐ̃ w
ABSORVENTE	ɐ b i s o ɾ v ẽ t i
ABSORVENTES	ɐ b i s o ɾ v ẽ t i ʃ
ABSORVO	ɐ b i s o ɾ v u
ABSTIVER	ɐ b i s tʃ i v ɛ ɾ
ABSTIVESSE	ɐ b i s tʃ i v ɛ s i
ABSURDIDADE	ɐ b i s u ɾ d i d ɐ d i
ABSURDISMO	ɐ b i s u ɾ d i z m u
ABUNDANTE	ɐ b ũ d ɐ̃ t i
ABUNDANTEMENTE	ɐ b ũ d ɐ̃ t i m ẽ t i
ABUNDANTES	ɐ b ũ d ɐ̃ t i ʃ
ABUNDE	ɐ b ũ d i
ABUSIVAMENTE	ɐ b u z i v ɐ m ẽ t i
AC	ɐ k i
ACABRUNHANTE	ɐ k ɐ b ɾ u ɲ ɐ̃ t i
ACACHAPANTE	ɐ k ɐ ʃ ɐ p ɐ̃ t i
ACADE	ɐ k ɐ d i
ACADEMIAZINHA	ɐ k ɐ d ɛ m i ɐ z i ɲ ɐ
ACAJUTIBA	ɐ k ɐ ʒ u t i b ɐ
ACARICIANTE	ɐ k ɐ ɾ i s i ɐ̃ t i
ACARRETA	ɐ k ɐ ʁ ɛ t ɐ
ACARRETE	ɐ k ɐ ʁ ɛ t i
ACARRETO	ɐ k ɐ ʁ ɛ t u
ACATE	ɐ k ɐ t i
ACEDE	ɐ s ɛ d i
ACEDI	ɐ s e d i
ACEDIA	ɐ s e d i ɐ
ACEDIDO	ɐ s e d i d u
ACEITABILIDADE	ɐ s e j t ɐ b i l i d ɐ d i
ACEITE	ɐ s e j t i
ACEITES	ɐ s e j t i ʃ
ACEITÁVEL	ɐ s e j t ɐ v ɛ l
ACELERA	ɐ s e l ɛ ɾ ɐ
ACELERAM	ɐ s e l ɛ ɾ ɐ̃ w
ACELERE	ɐ s e l ɛ ɾ i
ACELEREM	ɐ s e l ɛ ɾ ẽ
ACENDE	ɐ s ẽ d i
ACENDES	ɐ s ẽ d i ʃ
ACENDI	ɐ s ẽ d i
ACENDIA	ɐ s ẽ d i ɐ
ACENDIAM	ɐ s ẽ d i ɐ̃ w
ACENDIDA	ɐ s ẽ d i d ɐ
ACENDIDAS	ɐ s ẽ d i d ɐ ʃ
ACENDIDO	ɐ s ẽ d i d u
ACENDIMENTO	ɐ s ẽ d i m ẽ t u
ACERBOS	ɐ s ɛ ɾ b u s
ACERCA	ɐ s e ɾ k ɐ
ACERTE	ɐ s ɛ ɾ t i
ACERVOS	ɐ s ɛ ɾ v u s
ACESSIBILIDADE	ɐ s e s i b i l i d ɐ d i
ACESSÍVEL	ɐ s e s i v ɛ l
ACETILAÇÃO	ɐ s e t i l ɐ s ɐ̃ w
ACETILENO	ɐ s e t i l e n u
ACETILSALICÍLICO	ɐ s e t i w s ɐ l i s i l i k u
ACETINADA	ɐ s e t i n ɐ d ɐ
ACETINADO	ɐ s e t i n ɐ d u
ACICATES	ɐ s i k ɐ t i ʃ
ACIDADE	ɐ s i d ɐ d i
ACIDAMENTE	ɐ s i d ɐ m ẽ t i
ACIDENTAL	ɐ s i d ẽ t ɐ l
ACIDENTALIDADE	ɐ s i d ẽ t ɐ l i d ɐ d i
ACIDENTALMENTE	ɐ s i d ẽ t ɐ w m ẽ t i
ACIDENTE	ɐ s i d ẽ t i
ACIDENTES	ɐ s i d ẽ t i ʃ
ACIDES	ɐ s i d i ʃ
ACIDIFICA	ɐ s i d i f i k ɐ
ACIDIFICANTE	ɐ s i d i f i k ɐ̃ t i
ACIDIFICAÇÃO	ɐ s i d i f i k ɐ s ɐ̃ w
ACIL	ɐ s i l
ACINTE	ɐ s ĩ t i
ACIONAL	ɐ s i o n ɐ l
ACIONÁVEL	ɐ s i o n ɐ v ɛ l
ACL	ɐ s e ɛ l i
ACM	ɐ s e e m i
ACODE	ɐ k ɔ d i
ACOITE	ɐ k o j t i
ACOLHA	ɐ k o ʎ ɐ
ACOLHAM	ɐ k o ʎ ɐ̃ w
ACOLHO	ɐ k o ʎ u
ACOMETE	ɐ k o m ɛ t i
ACOMETIA	ɐ k o m e t i ɐ
ACOMETIAM	ɐ k o m e t i ɐ̃ w
ACOMETIDA	ɐ k o m e t i d ɐ
ACOMETIDAS	ɐ k o m e t i d ɐ ʃ
ACOMETIDO	ɐ k o m e t i d u
ACOMETIDOS	ɐ k o m e t i d u ʃ
ACOMETIMENTO	ɐ k o m e t i m ẽ t u
ACOMETIMENTOS	ɐ k o m e t i m ẽ t u ʃ
ACOMODATIVO	ɐ k o m o d ɐ t i v u
ACOMODATÍCIA	ɐ k o m o d ɐ t i s i ɐ
ACOMODE	ɐ k o m ɔ d i
ACOMPANHANTE	ɐ k õ p ɐ ɲ ɐ̃ t i
ACOMPANHANTES	ɐ k õ p ɐ ɲ ɐ̃ t i ʃ
ACONCHEGANTE	ɐ k õ ʃ e ɡ ɐ̃ t i
ACONCHEGANTES	ɐ k õ ʃ e ɡ ɐ̃ t i ʃ
ACONDICIONADA	ɐ k õ d i s i o n ɐ d ɐ
ACONDICIONADAS	ɐ k õ d i s i o n ɐ d ɐ ʃ
ACONDICIONADO	ɐ k õ d i s i o n ɐ d u
ACONDICIONADOS	ɐ k õ d i s i o n ɐ d u ʃ
ACONDICIONAMENTO	ɐ k õ d i s i o n ɐ m ẽ t u
ACONDICIONANDO	ɐ k õ d i s i o n ɐ̃ d u
ACONDICIONAR	ɐ k õ d i s i o n ɐ ɾ
ACONDICIONAVA	ɐ k õ d i s i o n ɐ v ɐ
ACONDICIONOU	ɐ k õ d i s i o n o w
ACONSELHÁVEL	ɐ k õ s e ʎ ɐ v ɛ l
ACONTEÇA	ɐ k õ t e s ɐ
ACONTEÇAM	ɐ k õ t e s ɐ̃ w
ACONTEÇO	ɐ k õ t e s u
ACOPLÁVEL	ɐ k o p l ɐ v ɛ l
ACORDANTE	ɐ k o ɾ d ɐ̃ t i
ACORDE	ɐ k ɔ ɾ d i
ACORDES	ɐ k ɔ ɾ d i ʃ
ACORDEÕES	ɐ k o ɾ d e õ j ʃ
ACORIZAL	ɐ k o ɾ i z ɐ l
ACORRENTE	ɐ k o ʁ ẽ t i
ACOVARDE	ɐ k o v ɐ ɾ d i
ACP	ɐ s e p e
ACRAL	ɐ k ɾ ɐ l
ACREDITA	ɐ k ɾ e d i t ɐ
ACREDITA-SE	ɐ k ɾ e d i t ɐ s i
ACREDITADA	ɐ k ɾ e d i t ɐ d ɐ
ACREDITADAS	ɐ k ɾ e d i t ɐ d ɐ ʃ
ACREDITADO	ɐ k ɾ e d i t ɐ d u
ACREDITADOS	ɐ k ɾ e d i t ɐ d u ʃ
ACREDITAI	ɐ k ɾ e d i t ɐ j
ACREDITAIS	ɐ k ɾ e d i t ɐ j ʃ
ACREDITAM	ɐ k ɾ e d i t ɐ̃ w
ACREDITAMOS	ɐ k ɾ e d i t ɐ m u ʃ
ACREDITANDO	ɐ k ɾ e d i t ɐ̃ d u
ACREDITAR	ɐ k ɾ e d i t ɐ ɾ
ACREDITARA	ɐ k ɾ e d i t ɐ ɾ ɐ
ACREDITARAM	ɐ k ɾ e d i t ɐ ɾ ɐ̃ w
ACREDITAREI	ɐ k ɾ e d i t ɐ ɾ e j
ACREDITAREM	ɐ k ɾ e d i t ɐ ɾ ẽ
ACREDITAREMOS	ɐ k ɾ e d i t ɐ ɾ e m u ʃ
ACREDITARES	ɐ k ɾ e d i t ɐ ɾ i ʃ
ACREDITARIA	ɐ k ɾ e d i t ɐ ɾ i ɐ
ACREDITARIAM	ɐ k ɾ e d i t ɐ ɾ i ɐ̃ w
ACREDITARMOS	ɐ k ɾ e d i t ɐ ɾ m u ʃ
ACREDITARÁ	ɐ k ɾ e d i t ɐ ɾ ɐ
ACREDITARÃO	ɐ k ɾ e d i t ɐ ɾ ɐ̃ w
ACREDITARÍAMOS	ɐ k ɾ e d i t ɐ ɾ i ɐ m u ʃ
ACREDITAS	ɐ k ɾ e d i t ɐ ʃ
ACREDITASSE	ɐ k ɾ e d i t ɐ s i
ACREDITASSEM	ɐ k ɾ e d i t ɐ s ẽ
ACREDITASTE	ɐ k ɾ e d i t ɐ ʃ t i
ACREDITASTES	ɐ k ɾ e d i t ɐ ʃ t i ʃ
ACREDITAVA	ɐ k ɾ e d i t ɐ v ɐ
ACREDITAVAM	ɐ k ɾ e d i t ɐ v ɐ̃ w
ACREDITAVAS	ɐ k ɾ e d i t ɐ v ɐ ʃ
ACREDITAÇÃO	ɐ k ɾ e d i t ɐ s ɐ̃ w
ACREDITAÇÕES	ɐ k ɾ e d i t ɐ s õ j ʃ
ACREDITE	ɐ k ɾ e d i t i
ACREDITEI	ɐ k ɾ e d i t e j
ACREDITEIS	ɐ k ɾ e d i t e j ʃ
ACREDITEM	ɐ k ɾ e d i t ẽ
ACREDITEMOS	ɐ k ɾ e d i t e m u ʃ
ACREDITES	ɐ k ɾ e d i t i ʃ
ACREDITO	ɐ k ɾ e d i t u
ACREDITOU	ɐ k ɾ e d i t o w
ACREDITÁ	ɐ k ɾ e d i t ɐ
ACREDITÁSSEMOS	ɐ k ɾ e d i t ɐ s e m u ʃ
ACREDITÁVAMOS	ɐ k ɾ e d i t ɐ v ɐ m u ʃ
ACREDITÁVEIS	ɐ k ɾ e d i t ɐ v e j ʃ
ACREDITÁVEL	ɐ k ɾ e d i t ɐ v ɛ l
ACRELÂNDIA	ɐ k ɾ e l ɐ̃ d i ɐ
ACREMENTE	ɐ k ɾ i m ẽ t i
ACRESCENTE	ɐ k ɾ e s ẽ t i
ACRESCENTES	ɐ k ɾ e s ẽ t i ʃ
ACRITICAMENTE	ɐ k ɾ i t i k ɐ m ẽ t i
ACROBÁTICA	ɐ k ɾ o b ɐ t i k ɐ
ACROBÁTICAS	ɐ k ɾ o b ɐ t i k ɐ ʃ
ACROBÁTICO	ɐ k ɾ o b ɐ t i k u
ACROBÁTICOS	ɐ k ɾ o b ɐ t i k u ʃ
ACROMÁTICA	ɐ k ɾ o m ɐ t i k ɐ
ACROMÁTICO	ɐ k ɾ o m ɐ t i k u
ACROMÁTICOS	ɐ k ɾ o m ɐ t i k u ʃ
ACTINA	ɐ k i t i n ɐ
ACTIVA	ɐ k i t i v ɐ
ACTIVE	ɐ k i t i v i
ACTIVIDADE	ɐ k i t i v i d ɐ d i
ACTIVISMO	ɐ k i t i v i z m u
ACTIVISTA	ɐ k i t i v i ʃ t ɐ
ACTIVO	ɐ k i t i v u
ACTUAL	ɐ k i t w ɐ l
ACTUALIDADE	ɐ k i t w ɐ l i d ɐ d i
ACTÍNICA	ɐ k i t i n i k ɐ
ACTÍNICO	ɐ k i t i n i k u
ACTÍNIO	ɐ k i t i n i u
ACUDI	ɐ k u d i
ACUDIA	ɐ k u d i ɐ
ACUDIAM	ɐ k u d i ɐ̃ w
ACUDIDO	ɐ k u d i d u
ACUDINDO	ɐ k u d ĩ d u
ACUDIR	ɐ k u d i ɾ
ACUDIRA	ɐ k u d i ɾ ɐ
ACUDIRAM	ɐ k u d i ɾ ɐ̃ w
ACUDIREM	ɐ k u d i ɾ ẽ
ACUDIRIA	ɐ k u d i ɾ i ɐ
ACUDIRÁ	ɐ k u d i ɾ ɐ
ACUDIS	ɐ k u d i ʃ
ACUDISSE	ɐ k u d i s i
ACUDISSEM	ɐ k u d i s ẽ
ACUDIU	ɐ k u d i w
ACUIDADE	ɐ k w i d ɐ d i
ACUMBENTE	ɐ k ũ b ẽ t i
ACUMULATIVA	ɐ k u m u l ɐ t i v ɐ
ACUMULATIVAS	ɐ k u m u l ɐ t i v ɐ ʃ
ACUMULATIVO	ɐ k u m u l ɐ t i v u
ACUMULATIVOS	ɐ k u m u l ɐ t i v u ʃ
ACURACIDADE	ɐ k u ɾ ɐ s i d ɐ d i
ACUSATIVAS	ɐ k u z ɐ t i v ɐ ʃ
ACUSATIVO	ɐ k u z ɐ t i v u
ACUTI	ɐ k u t i
ACUTILADOS	ɐ k u t i l ɐ d u ʃ
ACUTILAR	ɐ k u t i l ɐ ɾ
ACÁDIO	ɐ k ɐ d i u
ACÉTICO	ɐ s ɛ t i k u
ACÍDIA	ɐ s i d i ɐ
AD	ɐ d i
ADAIL	ɐ d ɐ j l
ADAMANTINA	ɐ d ɐ m ɐ̃ t i n ɐ
ADAMANTINO	ɐ d ɐ m ɐ̃ t i n u
ADAMS	ɐ d ɐ̃ s
ADAPTABILIDADE	ɐ d ɐ p i t ɐ b i l i d ɐ d i
ADAPTATIVA	ɐ d ɐ p i t ɐ t i v ɐ
ADAPTATIVAS	ɐ d ɐ p i t ɐ t i v ɐ ʃ
ADAPTATIVO	ɐ d ɐ p i t ɐ t i v u
ADAPTATIVOS	ɐ d ɐ p i t ɐ t i v u ʃ
ADAPTE	ɐ d ɐ p i t i
ADAPTÁVEL	ɐ d ɐ p i t ɐ v ɛ l
ADEL	ɐ d ɛ l
ADELAIDE	ɐ d e l ɐ j d i
ADELÂNDIA	ɐ d e l ɐ̃ d i ɐ
ADEQUADAMENTE	ɐ d e k w ɐ d ɐ m ẽ t i
ADERBAL	ɐ d e ɾ b ɐ l
ADERENTE	ɐ d e ɾ ẽ t i
ADERENTES	ɐ d e ɾ ẽ t i ʃ
ADI	ɐ d i
ADIA	ɐ d i ɐ
ADIABATICAMENTE	ɐ d i ɐ b ɐ t i k ɐ m ẽ t i
ADIABÁTICA	ɐ d i ɐ b ɐ t i k ɐ
ADIABÁTICO	ɐ d i ɐ b ɐ t i k u
ADIABÁTICOS	ɐ d i ɐ b ɐ t i k u ʃ
ADIADA	ɐ d i ɐ d ɐ
ADIADAS	ɐ d i ɐ d ɐ ʃ
ADIADO	ɐ d i ɐ d u
ADIADOS	ɐ d i ɐ d u ʃ
ADIAM	ɐ d i ɐ̃ w
ADIAMENTO	ɐ d i ɐ m ẽ t u
ADIAMENTOS	ɐ d i ɐ m ẽ t u ʃ
ADIAMOS	ɐ d i ɐ m u ʃ
ADIANDO	ɐ d i ɐ̃ d u
ADIANTA	ɐ d i ɐ̃ t ɐ
ADIANTADA	ɐ d i ɐ̃ t ɐ d ɐ
ADIANTADAS	ɐ d i ɐ̃ t ɐ d ɐ ʃ
ADIANTADO	ɐ d i ɐ̃ t ɐ d u
ADIANTADOS	ɐ d i ɐ̃ t ɐ d u ʃ
ADIANTAM	ɐ d i ɐ̃ t ɐ̃ w
ADIANTAMENTO	ɐ d i ɐ̃ t ɐ m ẽ t u
ADIANTAMENTOS	ɐ d i ɐ̃ t ɐ m ẽ t u ʃ
ADIANTAMOS	ɐ d i ɐ̃ t ɐ m u ʃ
ADIANTANDO	ɐ d i ɐ̃ t ɐ̃ d u
ADIANTANDO-SE	ɐ d i ɐ̃ t ɐ̃ d u s i
ADIANTAR	ɐ d i ɐ̃ t ɐ ɾ
ADIANTARA	ɐ d i ɐ̃ t ɐ ɾ ɐ
ADIANTARAM	ɐ d i ɐ̃ t ɐ ɾ ɐ̃ w
ADIANTAREM	ɐ d i ɐ̃ t ɐ ɾ ẽ
ADIANTARIA	ɐ d i ɐ̃ t ɐ ɾ i ɐ
ADIANTARMOS	ɐ d i ɐ̃ t ɐ ɾ m u ʃ
ADIANTARÁ	ɐ d i ɐ̃ t ɐ ɾ ɐ
ADIANTASSE	ɐ d i ɐ̃ t ɐ s i
ADIANTAVA	ɐ d i ɐ̃ t ɐ v ɐ
ADIANTAVA-SE	ɐ d i ɐ̃ t ɐ v ɐ s i
ADIANTAVAM	ɐ d i ɐ̃ t ɐ v ɐ̃ w
ADIANTE	ɐ d i ɐ̃ t i
ADIANTEI	ɐ d i ɐ̃ t e j
ADIANTEM	ɐ d i ɐ̃ t ẽ
ADIANTES	ɐ d i ɐ̃ t i ʃ
ADIANTO	ɐ d i ɐ̃ t u
ADIANTOU	ɐ d i ɐ̃ t o w
ADIANTOU-SE	ɐ d i ɐ̃ t o w s i
ADIAR	ɐ d i ɐ ɾ
ADIARAM	ɐ d i ɐ ɾ ɐ̃ w
ADIARIA	ɐ d i ɐ ɾ i ɐ
ADIARMOS	ɐ d i ɐ ɾ m u ʃ
ADIASSE	ɐ d i ɐ s i
ADIASSEM	ɐ d i ɐ s ẽ
ADIAVA	ɐ d i ɐ v ɐ
ADICIONA	ɐ d i s i ɔ n ɐ
ADICIONADA	ɐ d i s i o n ɐ d ɐ
ADICIONADAS	ɐ d i s i o n ɐ d ɐ ʃ
ADICIONADO	ɐ d i s i o n ɐ d u
ADICIONADOS	ɐ d i s i o n ɐ d u ʃ
ADICIONAI	ɐ d i s i o n ɐ j
ADICIONAIS	ɐ d i s i o n ɐ j ʃ
ADICIONALMENTE	ɐ d i s i o n ɐ w m ẽ t i
ADICIONAM	ɐ d i s i ɔ n ɐ̃ w
ADICIONAMENTO	ɐ d i s i o n ɐ m ẽ t u
ADICIONAMOS	ɐ d i s i o n ɐ m u ʃ
ADICIONANDO	ɐ d i s i o n ɐ̃ d u
ADICIONAR	ɐ d i s i o n ɐ ɾ
ADICIONARAM	ɐ d i s i o n ɐ ɾ ɐ̃ w
ADICIONAREM	ɐ d i s i o n ɐ ɾ ẽ
ADICIONAREMOS	ɐ d i s i o n ɐ ɾ e m u ʃ
ADICIONARES	ɐ d i s i o n ɐ ɾ i ʃ
ADICIONARIA	ɐ d i s i o n ɐ ɾ i ɐ
ADICIONARMOS	ɐ d i s i o n ɐ ɾ m u ʃ
ADICIONASSE	ɐ d i s i o n ɐ s i
ADICIONAVA	ɐ d i s i o n ɐ v ɐ
ADICIONAVAM	ɐ d i s i o n ɐ v ɐ̃ w
ADICIONE	ɐ d i s i ɔ n i
ADICIONEI	ɐ d i s i o n e j
ADICIONEM	ɐ d i s i ɔ n ẽ
ADICIONES	ɐ d i s i ɔ n i ʃ
ADICIONO	ɐ d i s i ɔ n u
ADICIONOU	ɐ d i s i o n o w
ADICIONÁ	ɐ d i s i o n ɐ
ADICTO	ɐ d i k i t u
ADIDAS	ɐ d i d ɐ ʃ
ADIDO	ɐ d i d u
ADIDOS	ɐ d i d u ʃ
ADIE	ɐ d i i
ADIEI	ɐ d i e j
ADIEL	ɐ d i ɛ l
ADIEM	ɐ d i ẽ
ADIL	ɐ d i l
ADILAR	ɐ d i l ɐ ɾ
ADILSON	ɐ d i w s õ
ADIMENSIONAL	ɐ d i m ẽ s i o n ɐ l
ADIMPLEMENTO	ɐ d ĩ p l e m ẽ t u
ADIMPLENTE	ɐ d ĩ p l ẽ t i
ADIMPLÊNCIA	ɐ d ĩ p l ẽ s i ɐ
ADIN	ɐ d ĩ
ADIO	ɐ d i u
ADIOU	ɐ d i o w
ADIPOSIDADE	ɐ d i p o z i d ɐ d i
ADIPOSO	ɐ d i p o z u
ADIPOSOS	ɐ d i p ɔ z u ʃ
ADIR	ɐ d i ɾ
ADIRA	ɐ d i ɾ ɐ
ADIRAM	ɐ d i ɾ ɐ̃ w
ADIREI	ɐ d i ɾ e j
ADIS	ɐ d i ʃ
ADITAMENTO	ɐ d i t ɐ m ẽ t u
ADITAMOS	ɐ d i t ɐ m u ʃ
ADITANDO	ɐ d i t ɐ̃ d u
ADITARAM	ɐ d i t ɐ ɾ ɐ̃ w
ADITAVA	ɐ d i t ɐ v ɐ
ADITAVAM	ɐ d i t ɐ v ɐ̃ w
ADITIVA	ɐ d i t i v ɐ
ADITIVADO	ɐ d i t i v ɐ d u
ADITIVAS	ɐ d i t i v ɐ ʃ
ADITIVO	ɐ d i t i v u
ADITIVOS	ɐ d i t i v u ʃ
ADITO	ɐ d i t u
ADIVINHA	ɐ d i v i ɲ ɐ
ADIVINHADO	ɐ d i v i ɲ ɐ d u
ADIVINHADOR	ɐ d i v i ɲ ɐ d o ɾ
ADIVINHAM	ɐ d i v i ɲ ɐ̃ w
ADIVINHANDO	ɐ d i v i ɲ ɐ̃ d u
ADIVINHAR	ɐ d i v i ɲ ɐ ɾ
ADIVINHARA	ɐ d i v i ɲ ɐ ɾ ɐ
ADIVINHARAM	ɐ d i v i ɲ ɐ ɾ ɐ̃ w
ADIVINHAREM	ɐ d i v i ɲ ɐ ɾ ẽ
ADIVINHARIA	ɐ d i v i ɲ ɐ ɾ i ɐ
ADIVINHARÁ	ɐ d i v i ɲ ɐ ɾ ɐ
ADIVINHAS	ɐ d i v i ɲ ɐ ʃ
ADIVINHASSE	ɐ d i v i ɲ ɐ s i
ADIVINHASSES	ɐ d i v i ɲ ɐ s i ʃ
ADIVINHAVA	ɐ d i v i ɲ ɐ v ɐ
ADIVINHAÇÃO	ɐ d i v i ɲ ɐ s ɐ̃ w
ADIVINHAÇÕES	ɐ d i v i ɲ ɐ s õ j ʃ
ADIVINHE	ɐ d i v i ɲ i
ADIVINHEI	ɐ d i v i ɲ e j
ADIVINHEM	ɐ d i v i ɲ ẽ
ADIVINHO	ɐ d i v i ɲ u
ADIVINHOS	ɐ d i v i ɲ u ʃ
ADIVINHOU	ɐ d i v i ɲ o w
ADIVINHÁ	ɐ d i v i ɲ ɐ
ADIVINHÃO	ɐ d i v i ɲ ɐ̃ w
ADIÁ	ɐ d i ɐ
ADIÇÃO	ɐ d i s ɐ̃ w
ADIÇÕES	ɐ d i s õ j ʃ
ADJACENTE	ɐ d ɐ s ẽ t i
ADJACENTES	ɐ d ɐ s ẽ t i ʃ
ADJACÊNCIA	ɐ d ɐ s ẽ s i ɐ
ADJACÊNCIAS	ɐ d ɐ s ẽ s i ɐ ʃ
ADJECTIVO	ɐ d e k i t i v u
ADJETIVA	ɐ d e t i v ɐ
ADJETIVADO	ɐ d e t i v ɐ d u
ADJETIVAL	ɐ d e t i v ɐ l
ADJETIVANDO	ɐ d e t i v ɐ̃ d u
ADJETIVAR	ɐ d e t i v ɐ ɾ
ADJETIVAS	ɐ d e t i v ɐ ʃ
ADJETIVAVA	ɐ d e t i v ɐ v ɐ
ADJETIVAÇÃO	ɐ d e t i v ɐ s ɐ̃ w
ADJETIVAÇÕES	ɐ d e t i v ɐ s õ j ʃ
ADJETIVO	ɐ d e t i v u
ADJETIVOS	ɐ d e t i v u ʃ
ADJETOS	ɐ d e t u ʃ
