ㄱ	k i jʌ k
가격대는	k a g jʌ k dd e n ɯ n
가격대도	k a g jʌ k dd e d o
가격대를	k a g jʌ k dd ɛ r ɯ l
가격대비	k a g jʌ k d ɛ b i
가격대에서	k a g jʌ k dd e e s ʌ
가격도	k a g jʌ k dd o
가격들이	k a g jʌ k dd ɯ r i
가격만	k a g jʌ ŋ m a n
가격보다	k a g jʌ k bb o d a
가격에	k a g jʌ g e
가격에서	k a g jʌ g e s ʌ
가격으로	k a g jʌ g ɯ r o
가격은	k a g jʌ g ɯ n
가격을	k a g jʌ g ɯ l
가격의	k a g jʌ g e
가격이	k a g jʌ g i
가격이나	k a g jʌ g i n a
가격이죠	k a g jʌ g i ʣ jo
가격인데	k a g jʌ g i n d e
가격입니다	k a g jʌ g i m n i d a
가격적으로	k a g jʌ k ʨ ʌ g ɯ r o
가격적인	k a g jʌ k ʨ ʌ g i n
가계	k a g je
가고	k a g o
가고요	k a g o jo
가고자	k a g o ʣ a
가공	k a g o ŋ
가공기	k a g o ŋ g i
가공을	k a g o ŋ ɯ l
가공이	k a g o ŋ i
가공품	k a g o ŋ pʰ u m
가공하는	k a g o ŋ x a n ɯ n
가공한	k a g o ŋ x a n
가공할	k a g o ŋ x a l
가공해서	k a g o ŋ x ɛ s ʌ
가교	k a g jo
가구	k a g u
가구가	k a g u g a
가구나	k a g u n a
가구는	k a g u n ɯ n
가구도	k a g u d o
가구를	k a g u r ɯ l
가구요	k a g u jo
가구의	k a g u e
가금	k a g ɯ m
가급적	k a g ɯ p ʨʨ ʌ k
가급적이면	k a g ɯ p ʨ ʌ g i m jʌ n
가기	k a g i
가기가	k a g i g a
가기는	k a g i n ɯ n
가기도	k a g i d o
가기로	k a g i r o
가기를	k a g i r ɯ l
가기만	k a g i m a n
가기에	k a g i e
가기에는	k a g i e n ɯ n
가기전에	k a g i ʣ ʌ n e
가긴	k a g i n
가길	k a g i l
가까	k a gg a
가까스로	k a gg a s ɯ r o
가까우니까	k a gg a u n i gg a
가까우면	k a gg a u m jʌ n
가까운	k a gg a u n
가까운데	k a gg a u n d e
가까울	k a gg a u l
가까울수록	k a gg a u l s u r o k
가까움	k a gg a u m
가까워	k a gg a wʌ
가까워서	k a gg a wʌ s ʌ
가까워요	k a gg a wʌ jo
가까워져	k a gg a wʌ ʣ jʌ
가까워지고	k a gg a wʌ ʣ i g o
가까워지는	k a gg a wʌ ʣ i n ɯ n
가까워지면	k a gg a wʌ ʣ i m jʌ n
가까워진	k a gg a wʌ ʣ i n
가까워질	k a gg a wʌ ʣ i l
가까이	k a gg a i
가까이가	k a gg a i g a
가까이서	k a gg a i s ʌ
가까이에	k a gg a i e
가까이에서	k a gg a i e s ʌ
가깝	k a gg a p
가깝게	k a gg a p gg e
가깝고	k a gg a p gg o
가깝기	k a gg a p gg i
가깝다	k a gg a p dd a
가깝다고	k a gg a p dd a g o
가깝다는	k a gg a p dd a n ɯ n
가깝습니다	k a gg a p ss ɯ m n i d a
가깝죠	k a gg a p ʨ jo
가깝지	k a gg a p ʨʨ i
가꼬	k a gg o
가꾸고	k a gg u g o
가꾸기	k a gg u g i
가꾸는	k a gg u n ɯ n
가꾸어	k a gg u ʌ
가꾼	k a gg u n
가꿀	k a gg u l
가꿔	k a gg wʌ
가끔	k a gg ɯ m
가끔가다	k a gg ɯ m g a d a
가끔씩	k a gg ɯ m ss i k
가끔씩은	k a gg ɯ m ss i g ɯ n
가끔은	k a gg ɯ m ɯ n
가나	k a n a
가나다	k a n a d a
가나안	k a n a a n
가나안에	k a n a a n e
가나안으로	k a n a a n ɯ r o
가나안을	k a n a a n ɯ l
가나안의	k a n a a n e
가나요	k a n a jo
가나의	k a n a e
가난	k a n a n
가난과	k a n a n g wa
가난을	k a n a n ɯ l
가난의	k a n a n e
가난이	k a n a n i
가난하게	k a n a n x a g e
가난하고	k a n a n x a g o
가난한	k a n a n x a n
가난할	k a n a n x a l
가난해	k a n a n x ɛ
가난해서	k a n a n x ɛ s ʌ
가난했지만	k a n a n x e t ʨ i m a n
가냐	k a n ja
가냐고	k a n ja g o
가너	k a n ʌ
가네	k a n e
가네요	k a n e jo
가느냐	k a n ɯ n ja
가느냐에	k a n ɯ n ja e
가느다란	k a n ɯ d a r a n
가는	k a n ɯ n
가는가	k a n ɯ n g a
가는거	k a n ɯ n g ʌ
가는거고	k a n ɯ n g ʌ g o
가는거라	k a n ɯ n g ʌ r a
가는거죠	k a n ɯ n g ʌ ʣ jo
가는건	k a n ɯ n g ʌ n
가는건데	k a n ɯ n g ʌ n d e
가는걸	k a n ɯ n g ʌ l
가는겁니다	k a n ɯ n g ʌ m n i d a
가는것	k a n ɯ n g ʌ t
가는것도	k a n ɯ n g ʌ t dd o
가는것을	k a n ɯ n g ʌ s ɯ l
가는게	k a n ɯ n g e
가는구나	k a n ɯ n g u n a
가는길	k a n ɯ n g i l
가는길에	k a n ɯ n g i r e
가는데	k a n ɯ n d e
가는데요	k a n ɯ n d e jo
가는지	k a n ɯ n ʣ i
가는지도	k a n ɯ n ʣ i d o
가는지를	k a n ɯ n ʣ i r ɯ l
가늘게	k a n ɯ l g e
가늘고	k a n ɯ l g o
가늘어	k a n ɯ r ʌ
가늠이	k a n ɯ m i
가늠할	k a n ɯ m x a l
가능	k a n ɯ ŋ
가능성	k a n ɯ ŋ ss ʌ ŋ
가능성과	k a n ɯ ŋ ss ʌ ŋ g wa
가능성도	k a n ɯ ŋ ss ʌ ŋ d o
가능성에	k a n ɯ ŋ ss ʌ ŋ e
가능성은	k a n ɯ ŋ ss ʌ ŋ ɯ n
가능성을	k a n ɯ ŋ ss ʌ ŋ ɯ l
가능성이	k a n ɯ ŋ ss ʌ ŋ i
가능은	k a n ɯ ŋ ɯ n
가능케	k a n ɯ ŋ kʰ e
가능하거든요	k a n ɯ ŋ x a g ʌ d ɯ n jo
가능하게	k a n ɯ ŋ x a g e
가능하겠습니다	k a n ɯ ŋ x a g e t ss ɯ m n i d a
가능하겠죠	k a n ɯ ŋ x a g e t ʨʨ jo
가능하고	k a n ɯ ŋ x a g o
가능하고요	k a n ɯ ŋ x a g o jo
가능하구요	k a n ɯ ŋ x a g u jo
가능하기	k a n ɯ ŋ x a g i
가능하긴	k a n ɯ ŋ x a g i n
가능하나	k a n ɯ ŋ x a n a
가능하냐	k a n ɯ ŋ x a n ja
가능하네요	k a n ɯ ŋ x a n e jo
가능하니	k a n ɯ ŋ x a n i
가능하니까	k a n ɯ ŋ x a n i gg a
가능하다	k a n ɯ ŋ x a d a
가능하다고	k a n ɯ ŋ x a d a g o
가능하다는	k a n ɯ ŋ x a d a n ɯ n
가능하다라고	k a n ɯ ŋ x a d a r a g o
가능하다라는	k a n ɯ ŋ x a d a r a n ɯ n
가능하다면	k a n ɯ ŋ x a d a m jʌ n
가능하단	k a n ɯ ŋ x a d a n
가능하도록	k a n ɯ ŋ x a d o r o k
가능하며	k a n ɯ ŋ x a m jʌ
가능하면	k a n ɯ ŋ x a m jʌ n
가능하세요	k a n ɯ ŋ x a s e jo
가능하시구요	k a n ɯ ŋ x a s i g u jo
가능하시기	k a n ɯ ŋ x a s i g i
가능하시면	k a n ɯ ŋ x a s i m jʌ n
가능하신	k a n ɯ ŋ x a s i n
가능하십니다	k a n ɯ ŋ x a s i m n i d a
가능하죠	k a n ɯ ŋ x a ʣ jo
가능하지	k a n ɯ ŋ x a ʣ i
가능하지만	k a n ɯ ŋ x a ʣ i m a n
가능한	k a n ɯ ŋ x a n
가능한가	k a n ɯ ŋ x a n g a
가능한가요	k a n ɯ ŋ x a n g a jo
가능한데	k a n ɯ ŋ x a n d e
가능한데요	k a n ɯ ŋ x a n d e jo
가능한지	k a n ɯ ŋ x a n ʣ i
가능할	k a n ɯ ŋ x a l
가능할까	k a n ɯ ŋ x a l gg a
가능할까요	k a n ɯ ŋ x a l gg a jo
가능할지	k a n ɯ ŋ x a l ʨʨ i
가능합니까	k a n ɯ ŋ x a m n i gg a
가능합니다	k a n ɯ ŋ x a m n i d a
가능해	k a n ɯ ŋ x ɛ
가능해서	k a n ɯ ŋ x ɛ s ʌ
가능해야	k a n ɯ ŋ x e ja
가능해요	k a n ɯ ŋ x ɛ jo
가능해집니다	k a n ɯ ŋ x ɛ ʣ i m n i d a
가능했다	k a n ɯ ŋ x e t dd a
가능했던	k a n ɯ ŋ x ɛ t dd ʌ n
가능했습니다	k a n ɯ ŋ x ɛ t ss ɯ m n i d a
가니	k a n i
가니까	k a n i gg a
가니까요	k a n i gg a jo
가니깐	k a n i gg a n
가다	k a d a
가다가	k a d a g a
가다가는	k a d a g a n ɯ n
가다가도	k a d a g a d o
가다듬고	k a d a d ɯ m g o
가다보면	k a d a b o m jʌ n
가닥	k a d a k
가닥가닥	k a d a k g a d a k
가닥으로	k a d a g ɯ r o
가닥을	k a d a g ɯ l
가닥이	k a d a g i
가담	k a d a m
가담하여	k a d a m x a jʌ
가담한	k a d a m x a n
가더니	k a d ʌ n i
가더라	k a d ʌ r a
가더라고	k a d ʌ r a g o
가더라고요	k a d ʌ r a g o jo
가더라구요	k a d ʌ r a g u jo
가더라도	k a d ʌ r a d o
가던	k a d ʌ n
가던가	k a d ʌ n g a
가던지	k a d ʌ n ʣ i
가도	k a d o
가도록	k a d o r o k
가독성이	k a d o k ss ʌ ŋ i
가동	k a d o ŋ
가동범위를	k a d o ŋ b ʌ m wi r ɯ l
가동을	k a d o ŋ ɯ l
가동이	k a d o ŋ i
가되	k a d ø
가두고	k a d u g o
가두는	k a d u n ɯ n
가두리	k a d u r i
가두어	k a d u ʌ
가둬	k a d wʌ
가드	k a d ɯ
가드가	k a d ɯ g a
가드를	k a d ɯ r ɯ l
가득	k a d ɯ k
가득차	k a d ɯ k ʨʰ a
가득찬	k a d ɯ k ʨʰ a n
가득하게	k a d ɯ kʰ a g e
가득하고	k a d ɯ kʰ a g o
가득하다	k a d ɯ kʰ a d a
가득하시길	k a d ɯ kʰ a s i g i l
가득한	k a d ɯ kʰ a n
가득한데	k a d ɯ kʰ a n d e
가득할	k a d ɯ kʰ a l
가득합니다	k a d ɯ kʰ a m n i d a
가득해	k a d ɯ kʰ ɛ
가득히	k a d ɯ kʰ i
가든	k a d ɯ n
가든가	k a d ɯ n g a
가든지	k a d ɯ n ʣ i
가듯이	k a d ɯ s i
가등기	k a d ɯ ŋ g i
가등기가	k a d ɯ ŋ g i g a
가등기는	k a d ɯ ŋ g i n ɯ n
가등기를	k a d ɯ ŋ g i r ɯ l
가등기에	k a d ɯ ŋ g i e
가디건	k a d i g ʌ n
가디언	k a d i ʌ n
가뜩이나	k a dd ɯ g i n a
가라	k a r a
가라고	k a r a g o
가라는	k a r a n ɯ n
가라사대	k a r a s a d ɛ
가라앉	k a r a a n
가라앉고	k a r a a n gg o
가라앉는	k a r a a n n ɯ n
가라앉아	k a r a a n ʣ a
가라앉은	k a r a a n ʣ ɯ n
가라앉을	k a r a a n ʣ ɯ l
가라앉지	k a r a a n ʨʨ i
가라지	k a r a ʣ i
가라지를	k a r a ʣ i r ɯ l
가락	k a r a k
가락단음계	k a r a k d a n ɯ m g je
가락에	k a r a g e
가락이	k a r a g i
가란	k a r a n
가람	k a r a m
가랑	k a r a ŋ
가랑잎	k a r a ŋ n i p
가래	k a r ɛ
가래가	k a r e g a
가래를	k a r e r ɯ l
가량	k a r ja ŋ
가려	k a r jʌ
가려고	k a r jʌ g o
가려고요	k a r jʌ g o jo
가려는	k a r jʌ n ɯ n
가려다가	k a r jʌ d a g a
가려면	k a r jʌ m jʌ n
가려서	k a r jʌ s ʌ
가려야	k a r jʌ ja
가려운	k a r jʌ u n
가려움증	k a r jʌ u m ʨʨ ɯ ŋ
가려워	k a r jʌ wʌ
가려져	k a r jʌ ʣ jʌ
가려져서	k a r jʌ ʣ jʌ s ʌ
가려지는	k a r jʌ ʣ i n ɯ n
가려진	k a r jʌ ʣ i n
가련한	k a r jʌ n x a n
가렴	k a r jʌ m
가령	k a r jʌ ŋ
가로	k a r o
가로가	k a r o g a
가로길이가	k a r o g i r i g a
가로는	k a r o n ɯ n
가로되	k a r o d ø
가로등	k a r o d ɯ ŋ
가로로	k a r o r o
가로를	k a r o r ɯ l
가로막고	k a r o m a k gg o
가로막는	k a r o m a ŋ n ɯ n
가로세로	k a r o s e r o
가로수	k a r o s u
가로질러	k a r o ʣ i l l ʌ
가로채	k a r o ʨʰ ɛ
가롯	k a r o t
가룟	k a r jo t
가루	k a r u
가루가	k a r u g a
가루날림이	k a r u n a l l i m i
가루는	k a r u n ɯ n
가루다	k a r u d a
가루도	k a r u d o
가루로	k a r u r o
가루를	k a r u r ɯ l
가르	k a r ɯ
가르게	k a r ɯ g e
가르고	k a r ɯ g o
가르기	k a r ɯ g i
가르는	k a r ɯ n ɯ n
가르마	k a r ɯ m a
가르쳐	k a r ɯ ʨʰ jʌ
가르쳐도	k a r ɯ ʨʰ jʌ d o
가르쳐서	k a r ɯ ʨʰ jʌ s ʌ
가르쳐야	k a r ɯ ʨʰ jʌ ja
가르쳐요	k a r ɯ ʨʰ jʌ jo
가르쳐주고	k a r ɯ ʨʰ jʌ ʣ u g o
가르쳐주는	k a r ɯ ʨʰ jʌ ʣ u n ɯ n
가르쳐준	k a r ɯ ʨʰ jʌ ʣ u n
가르쳤고	k a r ɯ ʨʰ jʌ t gg o
가르쳤는데	k a r ɯ ʨʰ jʌ n n ɯ n d e
가르쳤던	k a r ɯ ʨʰ jʌ t dd ʌ n
가르쳤습니다	k a r ɯ ʨʰ jʌ t ss ɯ m n i d a
가르쳤어요	k a r ɯ ʨʰ jʌ ss ʌ jo
가르치	k a r ɯ ʨʰ i
가르치게	k a r ɯ ʨʰ i g e
가르치고	k a r ɯ ʨʰ i g o
가르치기	k a r ɯ ʨʰ i g i
가르치는	k a r ɯ ʨʰ i n ɯ n
가르치는데	k a r ɯ ʨʰ i n ɯ n d e
가르치려고	k a r ɯ ʨʰ i r jʌ g o
가르치며	k a r ɯ ʨʰ i m jʌ
가르치면	k a r ɯ ʨʰ i m jʌ n
가르치면서	k a r ɯ ʨʰ i m jʌ n s ʌ
가르치셨습니다	k a r ɯ ʨʰ i s jʌ t ss ɯ m n i d a
가르치시고	k a r ɯ ʨʰ i s i g o
가르치시는	k a r ɯ ʨʰ i s i n ɯ n
가르치신	k a r ɯ ʨʰ i s i n
가르치실	k a r ɯ ʨʰ i s i l
가르치지	k a r ɯ ʨʰ i ʣ i
가르친	k a r ɯ ʨʰ i n
가르친다	k a r ɯ ʨʰ i n d a
가르친다고	k a r ɯ ʨʰ i n d a g o
가르친다는	k a r ɯ ʨʰ i n d a n ɯ n
가르칠	k a r ɯ ʨʰ i l
가르침	k a r ɯ ʨʰ i m
가르침과	k a r ɯ ʨʰ i m g wa
가르침에	k a r ɯ ʨʰ i m e
가르침으로	k a r ɯ ʨʰ i m ɯ r o
가르침은	k a r ɯ ʨʰ i m ɯ n
가르침을	k a r ɯ ʨʰ i m ɯ l
가르침의	k a r ɯ ʨʰ i m i
가르침이	k a r ɯ ʨʰ i m i
가르칩니다	k a r ɯ ʨʰ i m n i d a
가르켜	k a r ɯ kʰ jʌ
가르키고	k a r ɯ k h i g o
가를	k a r ɯ l
가름	k a r ɯ m
가리	k a r i
가리게	k a r i g e
가리고	k a r i g o
가리기	k a r i g i
가리는	k a r i n ɯ n
가리라	k a r i r a
가리면	k a r i m jʌ n
가리비	k a r i b i
가리지	k a r i ʣ i
가리켜	k a r i kʰ jʌ
가리켜서	k a r i kʰ jʌ s ʌ
가리키게	k a r i k h i g e
가리키고	k a r i k h i g o
가리키는	k a r i k h i n ɯ n
가리키며	k a r i k h i m jʌ
가리키면서	k a r i kʰ i m jʌ n s ʌ
가리킨	k a r i kʰ i n
가리킨다	k a r i k h i n d a
가리킬	k a r i kʰ i l
가리킵니다	k a r i kʰ i m n i d a
가린	k a r i n
가릴	k a r i l
가림막	k a r i m m a k
가립니다	k a r i m n i d a
가마	k a m a
가마가	k a m a g a
가마를	k a m a r ɯ l
가만	k a m a n
가만두지	k a m a n d u ʣ i
가만있어	k a m a n i ss ʌ
가만있지	k a m a n i t ʨ i
가만히	k a m a n x i
가망	k a m a ŋ
가망성	k a m a ŋ ss ʌ ŋ
가망이	k a m a ŋ i
가맹	k a m ɛ ŋ
가며	k a m jʌ
가면	k a m jʌ n
가면라이더	k a m jʌ l l a i d ʌ
가면서	k a m jʌ n s ʌ
가면서도	k a m jʌ n s ʌ d o
가면요	k a m jʌ n jo
가면은	k a m jʌ n ɯ n
가면을	k a m jʌ n ɯ l
가면이	k a m jʌ n i
가명	k a m jʌ ŋ
가모	k a m o
가무	k a m u
가문	k a m u n
가문에	k a m u n e
가문에서	k a m u n e s ʌ
가문은	k a m u n ɯ n
가문을	k a m u n ɯ l
가문의	k a m u n i
가문이	k a m u n i
가뭄	k a m u m
가뭄에	k a m u m e
가뭄이	k a m u m i
가미된	k a m i d ø n
가바	k a b a
가발	k a b a l
가발을	k a b a r ɯ l
가방	k a b a ŋ
가방도	k a b a ŋ d o
가방에	k a b a ŋ e
가방에서	k a b a ŋ e s ʌ
가방으로	k a b a ŋ ɯ r o
가방은	k a b a ŋ ɯ n
가방을	k a b a ŋ ɯ l
가방이	k a b a ŋ i
가버	k a b ʌ
가버려	k a b ʌ r jʌ
가버렸어	k a b ʌ r jʌ ss ʌ
가버렸어요	k a b ʌ r jʌ ss ʌ jo
가버리고	k a b ʌ r i g o
가버리는	k a b ʌ r i n ɯ n
가버리면	k a b ʌ r i m jʌ n
가버린	k a b ʌ r i n
가버립니다	k a b ʌ r i m n i d a
가베	k a b e
가벼운	k a b jʌ u n
가벼울	k a b jʌ u l
가벼워	k a b jʌ wʌ
가벼워서	k a b jʌ wʌ s ʌ
가벼워요	k a b jʌ wʌ jo
가벼워지고	k a b jʌ wʌ ʣ i g o
가변	k a b jʌ n
가볍게	k a b jʌ p gg e
가볍고	k a b jʌ p gg o
가볍기	k a b jʌ p gg i
가볍다	k a b jʌ p dd a
가볍습니다	k a b jʌ p ss ɯ m n i d a
가볍지	k a b jʌ p ʨʨ i
가보	k a b o
가보게	k a b o g e
가보겠습니다	k a b o g e t ss ɯ m n i d a
가보고	k a b o g o
가보는	k a b o n ɯ n
가보니	k a b o n i
가보니까	k a b o n i gg a
가보다	k a b o d a
가보도록	k a b o d o r o k
가보라고	k a b o r a g o
가보려고	k a b o r jʌ g o
가보면	k a b o m jʌ n
가보세요	k a b o s e jo
가보시기	k a b o s i g i
가보시면	k a b o s i m jʌ n
가보시죠	k a b o s i ʣ jo
가보신	k a b o s i n
가보실까요	k a b o s i l gg a jo
가보자	k a b o ʣ a
가보자고	k a b o ʣ a g o
가보죠	k a b o ʣ jo
가보지	k a b o ʣ i
가본	k a b o n
가본적이	k a b o n ʣ ʌ g i
가볼	k a b o l
가볼게	k a b o l g e
가볼게요	k a b o l g e jo
가볼까	k a b o l gg a
가볼까요	k a b o l gg a jo
가볼만한	k a b o l m a n x a n
가봅니다	k a b o m n i d a
가봅시다	k a b o p ss i d a
가봉	k a b o ŋ
가봐	k a b wa
가봐도	k a b wa d o
가봐라	k a b wa r a
가봐서	k a b wa s ʌ
가봐야	k a b wa ja
가봐야겠다	k a b wa ja g e t dd a
가봐야지	k a b wa ja ʣ i
가봐요	k a b wa jo
가봤는데	k a b wa n n ɯ n d e
가봤다	k a b wa t dd a
가봤더니	k a b wa t dd ʌ n i
가봤던	k a b wa t dd ʌ n
가봤습니다	k a b wa t ss ɯ m n i d a
가봤어	k a b wa ss ʌ
가봤어요	k a b wa ss ʌ jo
가봤자	k a b wa t ʨʨ a
가부	k a b u
가브리엘	k a b ɯ r i e l
가비	k a b i
가빠	k a bb a
가쁜	k a bb ɯ n
가사	k a s a
가사가	k a s a g a
가사는	k a s a n ɯ n
가사도	k a s a d o
가사를	k a s a r ɯ l
가사에	k a s a e
가사와	k a s a wa
가산	k a s a n
가산세	k a s a n ss e
가상	k a s a ŋ
가상으로	k a s a ŋ ɯ r o
가상의	k a s a ŋ i
가상현실	k a s a ŋ x jʌ n s i l
가상화폐	k a s a ŋ x wa pʰ je
가서	k a s ʌ
가서는	k a s ʌ n ɯ n
가서도	k a s ʌ d o
가서야	k a s ʌ ja
가서이	k a s ʌ i
가설	k a s ʌ l
가설은	k a s ʌ r ɯ n
가설을	k a s ʌ r ɯ l
가설이	k a s ʌ r i
가성	k a s ʌ ŋ
가성비	k a s ʌ ŋ b i
가성비가	k a s ʌ ŋ b i g a
가성비는	k a s ʌ ŋ b i n ɯ n
가성비도	k a s ʌ ŋ b i d o
가성비로	k a s ʌ ŋ b i r o
가성비를	k a s ʌ ŋ b i r ɯ l
가세	k a s e
가세요	k a s e jo
가셔	k a s jʌ
가셔도	k a s jʌ d o
가셔서	k a s jʌ s ʌ
가셔야	k a s jʌ ja
가셨고	k a s jʌ t gg o
가셨는데	k a s jʌ n n ɯ n d e
가셨다	k a s jʌ t dd a
가셨다가	k a s jʌ t dd a g a
가셨던	k a s jʌ t dd ʌ n
가셨습니다	k a s jʌ t ss ɯ m n i d a
가셨어	k a s jʌ ss ʌ
가셨어요	k a s jʌ ss ʌ jo
가셨으면	k a s jʌ ss ɯ m jʌ n
가셨을	k a s jʌ ss ɯ l
가셨죠	k a s jʌ t ʨ jo
가소	k a s o
가소성	k a s o ss ʌ ŋ
가속	k a s o k
가속도	k a s o k dd o
가속도가	k a s o k dd o g a
가속을	k a s o g ɯ l
가속이	k a s o g i
가속화	k a s o kʰ wa
가솔린	k a s o l l i n
가수	k a s u
가수가	k a s u g a
가수는	k a s u n ɯ n
가수도	k a s u d o
가수들	k a s u d ɯ l
가수들이	k a s u d ɯ r i
가수로	k a s u r o
가수를	k a s u r ɯ l
가수분해	k a s u b u n x ɛ
가수의	k a s u i
가스	gg a ss ɯ
가스가	gg a ss ɯ g a
가스는	k a s ɯ n ɯ n
가스라이팅	gg a ss ɯ r a i tʰ i ŋ
가스라이팅을	gg a ss ɯ r a i tʰ i ŋ ɯ l
가스를	k a s ɯ r ɯ l
가스의	k a s ɯi
가스켓	k a s ɯ kʰ e t
가스파드	k a s ɯ pʰ a d ɯ
가슴	k a s ɯ m
가슴골	k a s ɯ m g o l
가슴과	k a s ɯ m g wa
가슴까지	k a s ɯ m gg a ʣ i
가슴도	k a s ɯ m d o
가슴만	k a s ɯ m m a n
가슴부터	k a s ɯ m b u tʰ ʌ
가슴속	k a s ɯ m ss o k
가슴속에	k a s ɯ m s o g e
가슴에	k a s ɯ m e
가슴에서	k a s ɯ m e s ʌ
가슴으로	k a s ɯ m ɯ r o
가슴은	k a s ɯ m ɯ n
가슴을	k a s ɯ m ɯ l
가슴이	k a s ɯ m i
가슴쪽으로	k a s ɯ m ʨ o g ɯ r o
가습기	k a s ɯ p gg i
가습기를	k a s ɯ p gg i r ɯ l
가시	k a s i
가시가	k a s i g a
가시게	k a s i g e
가시겠죠	k a s i g e t ʨ jo
가시고	k a s i g o
가시고요	k a s i g o jo
가시광선	k a s i g wa ŋ s ʌ n
가시구요	k a s i g u jo
가시기	k a s i g i
가시길	k a s i g i l
가시나무	k a s i n a m u
가시나요	k a s i n a jo
가시는	k a s i n ɯ n
가시는게	k a s i n ɯ n g e
가시는데	k a s i n ɯ n d e
가시다	k a s i d a
가시떨기	k a s i dd ʌ l g i
가시라고	k a s i r a g o
가시려고	k a s i r jʌ g o
가시를	k a s i r ɯ l
가시며	k a s i m jʌ
가시면	k a s i m jʌ n
가시면서	k a s i m jʌ n s ʌ
가시성	k a s i ss ʌ ŋ
가시오	k a s i o
가시와	k a s i wa
가시적인	k a s i ʣ ʌ g i n
가시죠	k a s i ʣ jo
가시지	k a s i ʣ i
가식	k a s i k
가신	k a s i n
가신다	k a s i n d a
가신다고	k a s i n d a g o
가신다는	k a s i n d a n ɯ n
가신다면	k a s i n d a m jʌ n
가실	k a s i l
가실게요	k a s i l gg e jo
가실까요	k a s i l gg a jo
가실때	k a s i l dd ɛ
가실분	k a s i l bb u n
가심	k a s i m
가십니까	k a s i m n i gg a
가십니다	k a s i m n i d a
가십시오	k a s i p ss i o
가압류	k a a m n ju
가액	k a ɛ k
가액에	k a ɛ g e
가액을	k a e g ɯ l
가액이	k a ɛ g i
가야	k a ja
가야겠다	k a ja g e t dd a
가야겠습니다	k a ja g e t ss ɯ m n i d a
가야겠어	k a ja g e ss ʌ
가야겠어요	k a ja g e ss ʌ jo
가야겠죠	k a ja g e t ʨ jo
가야금	k a ja g ɯ m
가야돼	k a ja d we
가야되	k a ja d ø
가야되고	k a ja d ø g o
가야되나	k a ja d ø n a
가야되는	k a ja d ø n ɯ n
가야되는데	k a ja d ø n ɯ n d e
가야되요	k a ja d ø jo
가야될	k a ja d ø l
가야만	k a ja m a n
가야죠	k a ja ʣ jo
가야지	k a ja ʣ i
가야할	k a ja x a l
가양	k a ja ŋ
가업승계	k a ʌ p s ɯ ŋ g je
가에	k a e
가에게	k a e g e
가에서	k a e s ʌ
가연성	k a jʌ n ss ʌ ŋ
가열	k a jʌ l
가열을	k a jʌ r ɯ l
가오	k a o
가오리	k a o r i
가옥	k a o k
가옥의	k a o g i
가온	k a o n
가와	k a wa
가요	k a jo
가요계	k a jo g je
가요제	k a jo ʣ e
가용	k a jo ŋ
가용성	k a jo ŋ ss ʌ ŋ
가우	k a u
가우리	k a u r i
가우스	k a u ss ɯ
가운	gg a u n
가운대	gg a u n d ɛ
가운데	k a u n d e
가운데가	k a u n d e g a
가운데는	k a u n d e n ɯ n
가운데도	k a u n d e d o
가운데로	k a u n d e r o
가운데를	k a u n d e r ɯ l
가운데만	k a u n d e m a n
가운데서	k a u n d e s ʌ
가운데서도	k a u n d e s ʌ d o
가운데에	k a u n d e e
가운데에는	k a u n d e e n ɯ n
