AAI	a a i
ARCHIBALD	a ʁ ʃ i b a l d
ARCHONTE	a ʁ k õ t
ARCHONTES	a ʁ k õ t
ARDENT	a ʁ d ã
ARGUS	a ʁ g y s
ARMENT	a ʁ m
ARMILLAIRE	a ʁ m i l ɛ ʁ
ARMILLAIRES	a ʁ m i l ɛ ʁ
ARNAS	a ʁ n a s
ARNOLD	a ʁ n ɔ l d
ARP	a ʁ
ARPANET	a ʁ p a n ɛ t
ARPENT	a ʁ p ã
ARRAS	a ʁ a s
ARRECKX	a ʁ ɛ k k s
ARROYO	a ʁ ɔ j o
ARTE	a ʁ t e
ARTEFACT	a ʁ t œ f a k t
ARTEFACTS	a ʁ t œ f a k t
ARTS	a ʁ
ARZENS	a ʁ z ɛ̃ s
AS	a ɛ s
ASA	a z a
ASEAN	a s e ã
ASMR	a ɛ s ɛ m ɛ ʁ
ASN	a ɛ s ɛ n
ASP	a s
ASPARAGUS	a s p a ʁ a g y s
ASPECT	a s p ɛ
ASPECTS	a s p ɛ
ASSEOIR	a s w a ʁ
ASSUMENT	a s y m
ASTHMATIQUE	a s m a t i k
ASTHMATIQUES	a s m a t i k
ASTHME	a s m ə
ASTRINGENT	a s t ʁ ɛ̃ ʒ ã
ATLAS	a t l a s
ATM	a t e ɛ m
ATOS	a t ɔ s
ATP	a t
ATV	a t v
AUCTIONS	o k t j õ
AUDIMAT	o d i m a t
AUDIT	o d i t
AUDITS	o d i t
AUFFAY	ɔ f ɛ
AUGMENT	o m ã
AUJOURD'HUI	o ʒ u ʁ d ɥ i
AULX	o l k s
AUM	o m
AURA	o ʁ a
AUSCHWITZ	ɔ ʃ w i t s
AUSTIN	ɔ s t i n
AUTOBUS	ɔ t ɔ b y s
AUTOFOCUS	ɔ t ɔ f ɔ k y s
AUTRANS	ɔ t ʁ ã
AUVENT	o v ã
AUXQUELLES	o k ɛ l
AUXQUELS	o k ɛ l
AV	a v n y
AVC	a v e s e
AVEN	a v ɛ n
AVENS	a v ɛ n
AVENT	a v ã
AVEYRON	a v e ʁ õ
AVIENT	a v i
AVORIAZ	a v ɔ ʁ i a z
AVR	a v ʁ i l
AXIS	a k s i s
AYATOLLAH	a j a t ɔ l a
AYATOLLAHS	a j a t ɔ l a
AYE	a j
AYSE	ɛ z
AZIMUT	a z i m y t
AZIMUTS	a z i m y t
AÉROSOL	a e ʁ ɔ s ɔ l
AÉROSOLS	a e ʁ ɔ s ɔ l
BACH	b a k
BACILLAIRES	b a s i l ɛ ʁ
BACILLE	b a s i l
BACILLES	b a s i l
BADEN	b a d ɛ n
BADMINTON	b a d m i n t ɔ n
BAHAMAS	b a a m a s
BALBUTIE	b a l b y s i
BALBUTIER	b a l b y s j e
BALBUTIÉ	b a l b y s j e
BALL	b ɔ l
BANDUNG	b ã d u ŋ
BANG	b ã g
BANGS	b ã g
BANJUL	b a n ʒ u l
BAP	b e a p e
BARMAN	b a ʁ m a n
BARMANS	b a ʁ m a n
BASSENS	b a s ɛ̃ s
BATIÉ	b a s j e
BATMAN	b a t m a n
BATTENHEIM	b a t œ n a j m
BATX	b e a t e i k s
BAUDUIN	b ɔ d ɥ ɛ̃
BAUSCH	b ɔ ʃ
BAVILLIERS	b a v i l j e
BAZAS	b a z a s
BBA	b e b e a
BCE	b s ø
BD	b u l v a ʁ
BDE	b d ø
BE	b ø
BEACH	b i t ʃ
BEAUDOIN	b ɔ d w ɛ̃
BEAURAIN	b ɔ ʁ ɛ̃
BEAUSOLEIL	b ɔ s ɔ l ɛ j
BECAUSE	b i k o z
BEETHOVEN	b i t ɔ v ɛ n
BEFFROI	b ɛ f w a
BEFTI	b ɛ f t i
BEHRING	b œ ʁ i ŋ
BEIERSDORF	b ɛ j ɛ ʁ s d ɔ ʁ f
BEINHEIM	b a j n a j m
BELINDA	b e l i n d a
BELLEY	b œ l e
BELLOTTE	b ɛ l ɔ t
BELLÂTRE	b ɛ l a t ʁ ə
BELLÂTRES	b ɛ l a t ʁ ə
BENARD	b e n a ʁ
BENFELD	b e n f ɛ l d
BENNANI	b ɛ n a n i
BEPC	b e ø p e s e
BERGHEIM	b e ʁ g a j m
BERS	b e
BES	b ø
BESNÉ	b e n e
BETTERAVE	b ɛ t ʁ a v
BETTERAVES	b ɛ t ʁ a v
BEYELER	b ɛ j l e
BEYNOST	b e n o
BEZANNES	b œ z a n
BIBLIOBUS	b i b l i j ɔ b y s
BIBLISHEIM	b i b l i ʃ ɛ̃
BICEPS	b i s ɛ p s
BIENHEUREUSE	b j ɛ̃ œ ʁ ø z
BIENHEUREUSES	b j ɛ̃ œ ʁ ø z
BIENHEUREUX	b j ɛ̃ œ ʁ ø
BIESHEIM	b i s a j m
BIFIDUS	b i f i d y s
BIGUGLIA	b i g u j a
BILLBOARD	b i l b ɔ ʁ d
BILLET	b i j e
BILLETS	b i j e
BILLEVESÉES	b i l œ v z e
BILLION	b i l j õ
BILLIONS	b i l j õ
BILLOM	b i j õ
BIMILLÉNAIRE	b i m i l e n ɛ ʁ
BIOS	b j ɔ s
BIRABEN	b i ʁ a b ã
BIS	b i s
BISCHHEIM	b i ʃ a j m
BISCHOFFSHEIM	b i ʃ ɔ f s a j m
BIT	b i t
BITS	b i t
BIVALENT	b i v a l ã
BIZANOS	b i z a n ɔ s
BLASPHÈMENT	b l a s f ɛ m
BLAYE	b l a j
BLED	b l ɛ d
BLEDS	b l ɛ d
BLINIS	b l i n i s
BLOCUS	b l ɔ k y s
BLOGUEURS	b l ɔ g a ʁ
BLOTZHEIM	b l ɔ t z a j m
BLUEGRASS	b l y œ g ʁ a s
BMW	b e ɛ m d u b l ə v e
BMX	b e ɛ m i k s
BOARD	b ɔ ʁ d
BODYGUARD	b ɔ d i g w a ʁ
BOEING	b ɔ i ŋ
BOEL	b w a l
BOERS	b ɔ ɛ ʁ s
BOEUFS	b ø
BOGAERT	b ɔ g a ʁ t
BOMBAY	b õ b ɛ
BOMPAS	b õ p a s
BONDOUFLE	b õ d u f l
BONNÉTABLE	b ɔ n e t a b l
BONSECOURS	b õ s œ k u ʁ
BONSHOMMES	b õ z ɔ m
BONUS	b ɔ n y s
BOONEN	b u n ɛ n
BOOT	b u t
BOOTS	b u t
BOSA	b ɔ s a
BOSTON	b ɔ s t ɔ n
BOT	b ɔ t
BOXER	b ɔ k s ɛ ʁ
BOXERS	b ɔ k s ɛ ʁ
BOY	b ɔ j
BOYARD	b ɔ j a ʁ
BOYARDS	b ɔ j a ʁ
BOYS	b ɔ j
BPA	b e p e a
BPCO	b e p e s e o
BPI	b p i
BRAIMENT	b ʁ ɛ m ã
BRANDT	b ʁ ã d
BRAUNSCHWEIG	b ʁ o n ʃ w ɛ
BRED	b ʁ ɛ d
BRESCIA	b ʁ ɛ s j a
BRETTEVILLE	b ʁ e t œ v i l
BRIENNON	b ʁ i j e n õ
BROADWAY	b ʁ ɔ d w ɛ
BROC	b ʁ o
BROCS	b ʁ o
BRONX	b ʁ õ k s
BROONS	b ʁ õ
BRUT	b ʁ y t
BRUTS	b ʁ y t
BSC	b e ɛ s s e
BTU	b e t e y
BUCKINGHAM	b o e k i ŋ a m
BUENOS	b w e n ɔ s
BUHARI	b ɥ a ʁ i
BULLDOZER	b y l d o z œ ʁ
BULLDOZERS	b y l d o z œ ʁ
BUNKER	b u n k ɛ ʁ
BUNKERS	b u n k ɛ ʁ
BURGER	b y ʁ g œ ʁ
BURUNDI	b u ʁ u n d i
BUS	b y s
BUSINESSMAN	b i z n ɛ s m a n
BUSINESSMANS	b i z n ɛ s m a n
BUT	b y t
BUTS	b y t
BVA	b v a
BX	b e i k s
BYSSUS	b i s y s
BYTE	b a j t
BZ	b e z ɛ d
BZD	b e z ɛ d d e
BÈGLES	b ɛ g l
BÉTHENY	b e t œ n i
BŒUFS	b ø
C	s e
C'	s œ
C'EST	s ɛ
CA	s a
CACAOYER	k a k a ɔ j e
CACAOYERS	k a k a ɔ j e
CACATOÈS	k a k a t ɔ ɛ s
CACTUS	k a k t y s
CAD	s e a d e
CADEN	k a d ɛ̃
CAEN	k ã
CALVADOS	k a l v a d ɔ s
CALVITIE	k a l v i s i
CAMBREMER	k ã b ʁ œ m ɛ ʁ
CAMBRIDGE	k ɛ m b ʁ i t ʒ
CAMDESSUS	k ã d e s y
CAMERAMAN	k a m ʁ a m a n
CAMILLE	k a m i l
CAMPUS	k ã p y s
CANCER	k ã s ɛ ʁ
CANCERS	k ã s ɛ ʁ
CANNABIS	k a n a b i s
CANTELEU	k ã t œ l ø
CANTIN	k ã t i n
CAO	s e a o
CAOUTCHOUC	k a u t ʃ u
CAOUTCHOUCS	k a u t ʃ u
CAPBRETON	k a b ʁ œ t õ
CAPC	k a p k
CAPILLAIRE	k a p i l ɛ ʁ
CAPILLAIRES	k a p i l ɛ ʁ
CAPILLARITÉ	k a p i l a ʁ i t e
CAPÉTIEN	k a p e s j ɛ̃
CAPÉTIENNE	k a p e s j ɛ n
CAPÉTIENS	k a p e s j ɛ̃
CARBONATIONS	k a ʁ b ɔ n a t j õ
CARLOS	k a ʁ l ɔ s
CAROLUS	k a ʁ ɔ l y s
CARROUSEL	k a ʁ u s ɛ l
CASHER	k a ʃ ɛ ʁ
CASSIS	k a s i s
CASTELNAUDARY	k a s t ɛ l n œ d a ʁ i
CATACHRÈSES	k a t a ʃ ʁ ɛ z
CATHARSIS	k a t a ʁ s i s
CATTENOM	k a t n ɔ m
CAUDAN	k ɔ d ã
CAUDRON	k ɔ d ʁ õ
CAURIS	k ɔ ʁ i s
CAUTERETS	k ɔ t œ ʁ ɛ
CAUTIONS	k o s j õ
CAVALIERE	k a v a l j œ ʁ
CAYLUS	k e j l y s
CAÏD	k a i d
CAÏDS	k a i d
CBI	k b i
CC	s e s e
CCA	k a
CCI	k s i
CDI	k d i
CDU	k d y
CE	s œ
CEDEAO	s œ d j o
CEDRIC	s e d ʁ i k
CELLULOÏD	s e l y l ɔ i d
CENS	s ã s
CERF	s ɛ ʁ
CERS	s e
CESNE	s ɛ s n
CET	s ɛ t
CFI	k f i
CGA	k g a
CGEA	k ʒ a
CGI	s e ʒ e i
CGPME	k g p m ø
CGU	k g y
CH	ʃ œ m ɛ̃
CHAMONIX	ʃ a m ɔ n i
CHAMPCEVINEL	ʃ ã s œ v i n ɛ l
CHAMPFORGEUIL	ʃ ã f ɔ ʁ ʒ œ j
CHAMPLAN	ʃ ã p l a n
CHAMPNIERS	ʃ ã p ɲ e
CHAMPSECRET	ʃ ã s œ k ʁ ɛ
CHAMPVANS	ʃ ã v ã
CHAN	ʃ a n
CHAO	k a o
CHAOS	k a o
CHAOTIQUE	k a ɔ t i k
CHAOTIQUES	k a ɔ t i k
CHAPONOST	ʃ a p ɔ n o
CHARISMATIQUE	k a ʁ i s m a t i k
CHARISMATIQUES	k a ʁ i s m a t i k
CHARISME	k a ʁ i s m ə
CHARISMES	k a ʁ i s m ə
CHARLESTON	ʃ a ʁ l ɛ s t ɔ n
CHARLOTTETOWN	ʃ a ʁ l ɔ t t a w n
CHARTER	ʃ a ʁ t ɛ ʁ
CHARTERS	ʃ a ʁ t ɛ ʁ
CHE	ʃ œ m ɛ̃
CHENOISE	ʃ e n w a z
CHER	ʃ ɛ ʁ
CHESTER	ʃ ɛ s t ɛ ʁ
CHEVELURE	ʃ œ v œ l y ʁ
CHEVELURES	ʃ œ v œ l y ʁ
CHEVILLE	ʃ œ v i j
CHIENDENT	ʃ j ã d ã
CHIROMANCIE	k i ʁ ɔ m ã s i
CHIRONOMES	k i ʁ ɔ n ɔ m
CHIROPRACTIE	k i ʁ ɔ p ʁ a k t i
CHLOROFORMENT	k l ɔ ʁ ɔ f ɔ ʁ m
CHOEUR	k œ ʁ
CHOEURS	k œ ʁ
CHOI	ʃ a j
CHORUS	k ɔ ʁ y s
CHR	s e a ʃ ɛ ʁ
CHRYSLER	k ʁ i s l œ ʁ
CHSCT	s e a ʃ ɛ s s e t e
CHSLD	s e a ʃ ɛ s ɛ l d e
CHUT	ʃ y t
CHÂTEAULIN	ʃ a t ɔ l ɛ̃
CHÂTELAUDREN	ʃ a t l o d ʁ ã
CHÂTENOIS	ʃ a t œ n w a
CICR	s i k ʁ
CIMENT	s i m ã
CINQUANTE-DEUX	s ɛ̃ k ã t œ d ø
CINQUANTE-HUIT	s ɛ̃ k ã t ɥ i t
CINQUANTE-QUATRE	s ɛ̃ k ã t k a t ʁ
CINQUANTE-TROIS	s ɛ̃ k ã t œ t ʁ w a
CIRROCUMULUS	s i ʁ ɔ k y m y l y s
CIRRUS	s i ʁ y s
CIS	s i s
CITIONS	s i t j õ
CJCE	s e ʒ i s e ø
CJM	s e ʒ i ɛ m
CJUE	s e ʒ i y ø
CLAMECY	k l a m s i
CLAMSER	k l a m s e
CLE	s ã s ɛ̃ k ã t j ɛ m
CLEF	k l e
CLEFS	k l e
CLERC	k l ɛ ʁ
CLIENT	k l i j ã
CLINTON	k l i n t ɔ n
CLITORIS	k l i t ɔ ʁ i s
CLOWN	k l u n
CLOWNS	k l u n
CLUBS	k l œ b
CMA	k m a
CMJN	s e ɛ m ʒ i ɛ n
CMO	s e ɛ m o
CMU	s e ɛ m y
CMX	s e ɛ m i k s
CNAV	s e ɛ n a v e
CNCA	k n k a
CNCE	k n s ø
CNE	k n ø
CNIR	k n i ʁ
CNN	s e ɛ n ɛ n
CNO	s e ɛ n o
CNU	k n y
COALESCENT	k ɔ a l ɛ s ã
COCHEREN	k ɔ ʃ œ ʁ ɛ n
COCHLÉAIRE	k ɔ k l ɛ ʁ
COCKER	k ɔ k ɛ ʁ
COCKTAIL	k ɔ k t ɛ l
COEFFICIENT	k ɔ e f i s j ã
COELHO	k w a l o
COEN	k ɔ ɛ̃
COENS	k ɔ ɛ̃
COGNITIF	k ɔ g n i t i f
COGNITIFS	k ɔ g n i t i f
COGNITION	k ɔ g n i s j õ
COGNITIONS	k ɔ g n i s j õ
COGNITIVE	k ɔ g n i t i v
COGNITIVEMENT	k ɔ g n i t i v m ã
COGNITIVES	k ɔ g n i t i v
COHÉRENT	k ɔ e ʁ ã
COLIBACILLES	k ɔ l i b a s i l
COLLAPSUS	k ɔ l a p s y s
COMBRIT	k õ b ʁ i t
COMMONWEALTH	k ɔ m õ w i l t
COMPACT	k õ p a k t
COMPACTS	k õ p a k t
COMPLÉTIONS	k õ p l e t j õ
COMPORTIONS	k õ p ɔ ʁ t j õ
COMPRIMENT	k õ p ʁ i m
COMPUTER	k o m p j u t ɛ ʁ
COMPUTERS	k o m p j u t ɛ ʁ
COMPÉTENT	k õ p e t ã
CONCOURRAIS	k õ k u ʁ ɛ
CONCURRENT	k õ k y ʁ ã
CONFIDENT	k õ f i d ã
CONFIRMENT	k õ f i ʁ m
CONFLUENT	k õ f l y ã
CONFORMENT	k õ f ɔ ʁ m
CONGRESS	k õ g ʁ ɛ s
CONGRUENT	k õ g ʁ y ã
CONNECTIONS	k ɔ n ɛ k t j õ
CONNIVENT	k ɔ n i v ã
CONSCIENT	k õ s j ã
CONSENSUS	k õ s ɛ̃ s y s
CONSENT	k õ s ã
CONSOMMENT	k õ s ɔ m
CONSTATIONS	k õ s t a t j õ
CONSUMENT	k õ s y m
CONSÉQUENT	k õ s e k ã
CONTACT	k õ t a k t
CONTACTS	k õ t a k t
CONTAINER	k õ t ɛ n ɛ ʁ
CONTAINERS	k õ t ɛ n ɛ ʁ
CONTENT	k õ t ã
CONTIENT	k õ t j ɛ̃
CONTINENT	k õ t i n ã
CONTINGENT	k õ t ɛ̃ ʒ ã
CONTRESENS	k õ t ʁ œ s ã s
CONTREVENT	k õ t ʁ œ v ã
CONTREVIENT	k õ t ʁ œ v j ɛ̃
CONVALESCENT	k õ v a l ɛ s ã
CONVENT	k õ v ã
CONVERS	k õ v e ʁ
CONVICT	k õ v i k t
CONVICTS	k õ v i k t
COOKIE	k u k i
COOKIES	k u k i s
COOL	k u l
COOLE	k u l
COOP	k ɔ ɔ
COOPER	k u p e ʁ
COOPS	k ɔ ɔ
COP	k o
COPRÉSIDENT	k ɔ p ʁ e z i d ã
COPS	k o
COPYRIGHT	k ɔ p i ʁ a i t
COPYRIGHTS	k ɔ p i ʁ a i t
CORNER	k ɔ ʁ n ɛ ʁ
CORNERS	k ɔ ʁ n ɛ ʁ
CORPULENT	k ɔ ʁ p y l ã
CORPUS	k ɔ ʁ p y s
CORRECT	k ɔ ʁ ɛ k t
CORRECTS	k ɔ ʁ ɛ k t
CORSEPT	k ɔ ʁ s ɛ
CORTE	k ɔ ʁ t ɛ
CORTÈS	k ɔ ʁ t ɛ s
COSINUS	k o z i n y s
COSMOS	k ɔ s m ɔ s
COSNAC	k ɔ n a k
COSSUS	k ɔ s y s
COUHÉ	k u e
COURRAIS	k u ʁ ɛ
COURROIE	k u ʁ w a
COURROIES	k u ʁ w a
COURROUCÉ	k u ʁ u s e
COURROUCÉE	k u ʁ u s e
COURROUCÉES	k u ʁ u s e
COURROUCÉS	k u ʁ u s e
COURROUX	k u ʁ u
COURRÈGES	k u ʁ ɛ ʒ
COUSCOUS	k u s k u s
COUVENT	k u v ã
COUZEIX	k u z ɛ k s
COUËRON	k w e ʁ õ
COWBOY	k a w b ɔ j
COWBOYS	k ɔ b ɔ j
COWGIRL	k ɔ ʒ i ʁ l
COY	k w a
COYOTE	k ɔ j ɔ t
COYOTES	k ɔ j ɔ t
COZES	k ɔ z
COÏNCIDENT	k ɔ ɛ̃ s i d ã
CPA	k p a
CPAM	k p a m
CPE	s e p e ø
CPGE	s e p e ʒ e ø
CPIE	s e p e i ø
CPU	k p y
CQFD	s e k y ɛ f d e
CRACH	k ʁ a k
CRAMENT	k ʁ a m
CRESCENDO	k ʁ ɛ s ã d o
CRESCENDOS	k ʁ ɛ s ã d o
CREUTZFELDT	k ʁ ø t s f ɛ l d
CREUTZWALD	k ʁ œ t z v a l d
CRICKET	k ʁ i k ɛ t
CRICKETS	k ʁ i k ɛ t
CRITERIUM	k ʁ i t e ʁ j ɔ m
CROC	k ʁ o
CROCS	k ʁ o
CROCUS	k ʁ ɔ k y s
CRUAS	k ʁ y a s
CRUCIFIX	k ʁ y s i f i
CRUSH	k ʁ ɛ ʃ
CSA	k s a
CSC	s e ɛ s s e
CSE	s e ɛ s ø
CSI	k s i
CSO	s e ɛ s o
CSPI	s e ɛ s p e i
CSS	s e ɛ s ɛ s
CSU	k s y
CTRL	k õ t ʁ o l
CUBITUS	k y b i t y s
CUCUL	k y k y
CUERS	k ɥ ɛ ʁ s
CUILLER	k y j ɛ ʁ
CUILLERS	k y j ɛ ʁ
CUISERY	k ɥ i z œ ʁ i
CULOZ	k y l o z
CULT	k y l t
CUMULONIMBUS	k y m y l ɔ n ɛ̃ b y s
CUMULUS	k y m y l y s
CUNNILINGUS	k y n i l ɛ̃ g y s
CUP	k y
CURIETHÉRAPIE	k y ʁ i t e ʁ a p i
CURSUS	k y ʁ s y s
CUTTER	k y t œ ʁ
CUYPERS	k y p e
CYBERESPACE	s i b ɛ ʁ ɛ s p a s
CYRILLE	s i ʁ i l
CYRILLIQUE	s i ʁ i l i k
CYRILLIQUES	s i ʁ i l i k
CYTOMÉGALOVIRUS	s i t ɔ m e g a l ɔ v i ʁ y s
CÀS	s e a ɛ s
D'	d œ
D'AC	d a k
D'ACCENT	d a k s ã
D'AIX	d ɛ k s
D'AQUEDUCS	a k y d y k
D'ARCHÉOLOGIE	d a ʁ k e ɔ l ɔ ʒ i
D'AUJOURD'HUI	d o ʒ u ʁ d ɥ i
D'ENTRE	d ã t ʁ
D'EXPLOITATION	d e k s p l w a t a s j õ
D'HIVER	d i v ɛ ʁ
D'INFOS	d ã f o
D'ORCHIDÉES	d ɔ ʁ k i d e
DACHSTEIN	d a ʃ t a j n
DALMATIE	d a l m a s i
DALMATIEN	d a l m a s j ɛ̃
DALMATIENNE	d a l m a s j ɛ n
DALMATIENS	d a l m a s j ɛ̃
DAMVILLE	d a m v i l
DANGOLSHEIM	d ã g ɔ l ʃ ɛ̃
DARWIN	d a ʁ w i n
DAUM	d o m
DAVE	d e v
DAVID	d a v i d
DAVIDS	d a v i d
DAYTON	d ɛ t õ
DBA	d e b e a
DCA	d k a
DCRI	d e s e ɛ ʁ i
DE	d œ
DEAN	d i n
DEATH	d ɛ s
DECRESCENDO	d œ k ʁ ɛ s ã d o
DEHAENE	d œ a œ n
DELRUE	d e l ʁ y
DEMARET	d e m a ʁ ɛ
DEMME	d ɛ m
DENNIS	d e n i s
DEPARTMENT	d œ p a ʁ m ã
DEPP	d ɛ p
DER	d ɛ ʁ
DESCARTES	d e k a ʁ t
DESCOURS	d e s k u ʁ
DESDITES	d e d i t
DESDÉMONE	d ɛ s d e m ɔ n
DESGRAUPES	d e s g ʁ o p
DESHAIES	d e ɛ
DESIDERATA	d e z i d e ʁ a t a
DESIGN	d i z a j n
DESIGNS	d i z a j n
DESJARDINS	d e ʒ a ʁ d ɛ̃
DESMET	d e m ɛ
DESMOULINS	d e m u l ɛ̃
DESQUAMATION	d ɛ s k w a m a s j õ
DESQUAMATIONS	d ɛ s k w a m a s j õ
DESQUELLES	d e k ɛ l
DESQUELS	d e k ɛ l
DESSENHEIM	d e s e n a j m
DESSOUS	d œ s u
DESTRIERS	d e s t ʁ i j e
DESTROY	d e s t ʁ w a
DEUG	d ø g
DEVECEY	d œ v œ s ɛ
DEVIENT	d œ v j ɛ̃
DEVILLERS	d œ v i l e
DFA	d e ɛ f a
DFI	d e ɛ f i
DGI	d ʒ i
DGSE	d g s ø
DHA	d e a ʃ a
DIAGNOSE	d j a g n o z
DIAGNOSTIC	d j a g n ɔ s t i k
DIAGNOSTICS	d j a g n ɔ s t i k
DIAGNOSTIQUE	d j a g n ɔ s t i k
DIAGNOSTIQUER	d j a g n ɔ s t i k e
DIAGNOSTIQUES	d j a g n ɔ s t i k
DIESEL	d j e z ɛ l
DIESELS	d j e z ɛ l
DIEULEFIT	d j œ l œ f i
DIFFAMENT	d i f a m
DIFFÉRENT	d i f e ʁ ã
DIFFÉRENTIENT	d i f e ʁ ã s i
DIFFÉRENTIER	d i f e ʁ ã s j e
DIFFÉRENTIÉ	d i f e ʁ ã s j e
DIFFÉRENTIÉE	d i f e ʁ ã s j e
DIGIT	d i ʒ i t
DIGITS	d i ʒ i t
DIKTAT	d i k t a t
DIKTATS	d i k t a t
DILIGENT	d i l i ʒ ã
DIM	d i m ã ʃ
DINSHEIM	d i n s a j m
DIPLODOCUS	d i p l ɔ d ɔ k y s
DIRECT	d i ʁ ɛ k t
DIRECTS	d i ʁ ɛ k t
DISNEYLAND	d i s n ɛ l ã d
DISSIDENT	d i s i d ã
DISTRICT	d i s t ʁ i k t
DISTRICTS	d i s t ʁ i k t
DIVERGENT	d i v ɛ ʁ ʒ ã
DIVERS	d i v ɛ ʁ
DIX-HUIT	d i z ɥ i t
DIX-NEUF	d i z n œ f
